State,Gender,Year,Deaths
Massachusetts,Female,2003,22
Montana,Female,2003,21
Illinois,Female,2003,103
Oklahoma,Male,2003,380
Oklahoma,Female,2003,63
Nevada,Male,2003,310
Maryland,Male,2003,583
Maryland,Female,2003,59
Indiana,Female,2003,102
Indiana,Male,2003,592
Ohio,Male,2003,821
Ohio,Female,2003,103
Illinois,Male,2003,1043
Rhode Island,Male,2003,32
Idaho,Female,2003,19
South Dakota,Male,2003,61
Utah,Male,2003,199
Arkansas,Male,2003,352
California,Male,2003,3019
Arkansas,Female,2003,53
California,Female,2003,378
Florida,Female,2003,290
Tennessee,Female,2003,145
District of Columbia,Female,2003,0
District of Columbia,Male,2003,159
Colorado,Female,2003,72
Colorado,Male,2003,421
Utah,Female,2003,28
Washington,Female,2003,80
Connecticut,Male,2003,131
Connecticut,Female,2003,22
Vermont,Male,2003,44
Vermont,Female,2003,0
Alaska,Male,2003,102
Alaska,Female,2003,18
Wyoming,Female,2003,0
Wyoming,Male,2003,82
West Virginia,Female,2003,42
West Virginia,Male,2003,223
South Dakota,Female,2003,10
Washington,Male,2003,479
Virginia,Female,2003,119
Tennessee,Male,2003,695
Florida,Male,2003,1645
Alabama,Male,2003,634
Wisconsin,Male,2003,408
Texas,Female,2003,390
Wisconsin,Female,2003,56
Texas,Male,2003,2015
Delaware,Female,2003,0
Virginia,Male,2003,687
Alabama,Female,2003,132
Georgia,Male,2003,975
Georgia,Female,2003,195
South Carolina,Female,2003,109
Delaware,Male,2003,56
South Carolina,Male,2003,483
Arizona,Female,2003,124
Arizona,Male,2003,717
Arizona,Male,2004,770
North Carolina,Male,2004,888
Illinois,Male,2004,878
Illinois,Female,2004,115
North Carolina,Female,2004,167
Wisconsin,Female,2004,57
Nebraska,Female,2004,12
Utah,Female,2004,25
Utah,Male,2004,195
Alaska,Male,2004,101
Arizona,Female,2004,110
South Dakota,Female,2004,0
South Dakota,Male,2004,67
West Virginia,Male,2004,212
Alaska,Female,2004,15
Wyoming,Male,2004,47
Wyoming,Female,2004,0
Delaware,Female,2004,11
Delaware,Male,2004,63
Kansas,Male,2004,242
North Dakota,Male,2004,46
Montana,Male,2004,105
Indiana,Male,2004,544
Indiana,Female,2004,90
Michigan,Female,2004,136
Michigan,Male,2004,912
North Dakota,Female,2004,0
New Jersey,Female,2004,39
New Jersey,Male,2004,410
Iowa,Female,2004,14
Tennessee,Male,2004,728
Tennessee,Female,2004,142
California,Male,2004,2887
California,Female,2004,366
Texas,Male,2004,1950
Ohio,Male,2004,886
Texas,Female,2004,384
District of Columbia,Female,2004,10
Wisconsin,Male,2004,356
District of Columbia,Male,2004,133
Massachusetts,Male,2004,192
Massachusetts,Female,2004,13
Oklahoma,Female,2004,71
Oklahoma,Male,2004,378
Connecticut,Male,2004,153
Connecticut,Female,2004,20
Iowa,Male,2004,176
Montana,Female,2004,20
Kansas,Female,2004,50
Ohio,Female,2004,149
Oregon,Male,2004,326
Colorado,Male,2004,460
Colorado,Female,2004,83
Pennsylvania,Female,2004,166
Pennsylvania,Male,2004,1102
Oregon,Female,2004,52
Maryland,Male,2004,587
Maryland,Female,2004,61
Maine,Female,2004,13
Maine,Male,2004,95
New Mexico,Male,2004,244
New Mexico,Female,2004,41
Alabama,Male,2004,566
Arkansas,Female,2004,60
Arkansas,Male,2004,341
Hawaii,Male,2004,35
Hawaii,Female,2004,0
South Carolina,Male,2004,476
Virginia,Male,2004,680
Virginia,Female,2004,134
New Hampshire,Female,2004,0
Rhode Island,Male,2004,35
Rhode Island,Female,2004,0
New Hampshire,Male,2004,60
Missouri,Female,2004,106
Mississippi,Male,2004,410
Alabama,Female,2004,117
Louisiana,Male,2004,781
Louisiana,Female,2004,121
Georgia,Male,2004,879
Georgia,Female,2004,182
South Carolina,Female,2004,95
Mississippi,Female,2004,62
Missouri,Male,2004,563
Nebraska,Male,2004,105
Kentucky,Male,2004,460
New York,Female,2004,68
New York,Male,2004,881
Vermont,Male,2004,57
Minnesota,Male,2004,317
Minnesota,Female,2004,43
Washington,Male,2004,470
Washington,Female,2004,91
